,skill,count
315,Microsoft Word,10
316,Resume,2
317,Status,10
318,Calculus,5
319,Vector,9
320,Vectors,4
321,Biology,14
322,Data Validation,5
323,Validation,15
324,Forest,7
325,Leaf,1
326,Map,23
327,Maple,3
328,Data Analysis,101
329,Financial Analysis,1
330,Market Research,23
331,Alteryx,11
332,Moneris,2
333,Pop,1
334,Data Governance,15
335,Data Analytics,7
336,Computation,3
337,Computational Linguistics,1
338,Probability,3
339,Reinforcement,4
340,Reinforcement Learning,4
341,MRC,1
342,Scala,55
343,Cluster,5
344,Dimension,4
345,Semantics,2
346,Statistica,16
347,IM,34
348,Sample Prep,1
349,Sample Preparation,1
350,Six Sigma,11
351,Computer Engineering,116
352,CI,43
353,CIM,3
354,IMA,5
355,Fortran,1
356,Matlab,13
357,C#,44
358,PHP,20
359,PL/SQL,8
360,CFR,4
361,Kinetics,1
362,Physiology,1
363,Rehabilitation,1
364,Educational Research,1
365,Partnerships,2
366,Procurement,6
367,Applied Research,1
368,Processing,25
369,Flow,19
370,Keras,10
371,MongoDB,16
372,Data Modeling,99
373,Data Warehousing,101
374,Award,17
375,OSA,8
376,Credentials,2
377,Performing,7
378,Participation,5
379,Finance,63
380,Acting,7
381,Adobe,43
382,Adobe Professional,2
383,Medicine,5
384,DSI,2
385,OAT,2
386,OATS,2
387,SI,58
388,SIS,36
389,Investment,12
390,Investment Banking,8
391,Life Science,17
392,Google Data Studio,2
393,Matplotlib,3
394,Life Sciences,12
395,Camp,9
396,Campus,4
397,Online,5
398,Draft,7
399,Cor,42
400,Corporate Finance,1
401,Infrastructure,17
402,Restructuring,1
403,Attribution,3
404,BPA,1
405,PAP,1
406,Student Information System,1
407,BCS,3
408,Financial Assistance,2
409,Loan,1
410,Confirmation,1
411,Communications,11
412,Public,20
413,Public Relations,1
414,Social Sciences,9
415,Retirement Planning,3
416,Professional Development,4
417,Assessment,7
418,Assessment Tools,1
419,Collaboration,27
420,Critical Thinking,6
421,Thin,17
422,Travel,22
423,Kanban,12
424,Drug Development,3
425,TAA,4
426,Workplace,20
427,Workplace Culture,4
428,Analytica,36
429,General,27
430,Enterprise,35
431,NumPy,6
432,Turn,3
433,Business Systems,5
434,Synth,6
435,EAR,3
436,ROW,3
437,IB,44
438,ONT,3
439,RIB,3
440,TRI,3
441,Relocation,5
442,Information Management,10
443,Laboratory Information Management System (LIMS),1
444,Management System,18
445,Hazardous Materials,3
446,Health & Safety,13
447,Information Systems,24
448,Materials,3
449,WHMIS,3
450,Employment Standards,2
451,Regulations,9
452,Safety Regulations,1
453,Checks,4
454,SC,41
455,SCP,3
456,Screening,4
457,Security,37
458,Service Delivery,3
459,TSO,3
460,SEO,15
461,SEU,3
462,Union,10
463,Farbe,2
464,TPP,3
465,Conducting,12
466,Editing,4
467,Stata,2
468,S3,18
469,Guides,5
470,Hidden Markov Models,2
471,SV,21
472,Signal,2
473,Signal Processing,1
474,CAF,1
475,FFE,1
476,LR,3
477,Sarcoma,1
478,Crystal,4
479,Crystal Reports,2
480,CHA,3
481,Oncology,7
482,Health Sciences,13
483,MS Project,5
484,MSO,4
485,Projects,3
486,DNA,2
487,Macintosh,1
488,Windows,47
489,Biohazard,1
490,Algorithms,2
491,Databases,13
492,MapReduce,13
493,Instructors,1
494,Computer Systems Analysis,1
495,Systems Analysis,1
496,Overtime,1
497,Codes,1
498,Records,9
499,ADM,2
500,DM,54
501,Infection,2
502,Prevention,7
503,Infection Control,1
504,Auditing,2
505,Process Auditing,1
506,Metrics,4
507,Airflow,12
508,API,77
509,Medical Office,1
510,Office Administration,2
511,Administrative,7
512,Typing,3
513,Supply,5
514,Supply Chain,5
515,Supply Chain Optimization,2
516,Client Services,5
517,Mathematica,1
518,Interfaces,3
519,Teleco,7
520,Telecom,7
521,ERS,2
522,MERS,2
523,EnterpriseOne,1
524,Hype,6
525,Hyperion,5
526,JD Edwards,2
527,Spreads,3
528,Spreadsheet Server,1
529,CDC,2
530,DC,21
531,Parks,1
532,Reviews,23
533,EIS,3
534,GPS,1
535,Environmental Science,5
536,Occupational Health,2
537,Information Technology,38
538,DLC,19
539,SDL,19
540,Metro,4
541,GI,11
542,GIS,7
543,Finance and Accounting,1
544,XP,5
545,Oracle,76
546,Scrum,25
547,Audit Committee,1
548,Financial Institutions,2
549,Money,3
550,Regulatory Compliance,6
551,SFI,4
552,Playbook,3
553,AE,8
554,Intermediate,15
555,ISO,23
556,VDI,3
557,LAMP,9
558,Linux,62
559,Web,60
560,Web Development,2
561,Solver,4
562,Bash,11
563,Docker,43
564,Jenkins,25
565,Kubernetes,37
566,CFI,2
567,CFIA,2
568,FIA,2
569,FSI,3
570,SDA,3
571,Food Science,5
572,Microbiology,8
573,Public Health,6
574,CCP,3
575,GFS,1
576,GFSI,1
577,CPG,3
578,Aircraft,2
579,Business Case,4
580,Agents,2
581,Bonus,18
582,Beam,3
583,Cloud,108
584,Google Cloud,23
585,Google Cloud Platform,18
586,Developmental,5
587,Application,31
588,Business Applications,1
589,HP Service Manager,2
590,Information Science,6
591,Adobe Creative Suite,6
592,Creative Suite,6
593,IP,40
594,IPP,4
595,MF,6
596,PPA,6
597,OTA,1
598,Centra,8
599,Connect,14
600,Birth,5
601,Birthdays,3
602,Marvel,4
603,Enterprise Operations,1
604,Payments,1
605,Splunk,5
606,CRM,30
607,Dyna,14
608,Dynamics,6
609,Microsoft Dynamics,3
610,Geography,1
611,Dynamics CRM,3
612,Microsoft Dynamics CRM,1
613,Plot,1
614,Shiny,1
615,ArcGIS,2
616,COTS,1
617,OTS,2
618,QGIS,2
619,Intellectual,6
620,Focus,28
621,Mail,6
622,Figma,2
623,Sketch,4
624,UX,17
625,Optimizely,2
626,ACD,3
627,Prom,20
628,Promo,16
629,IT Operations,9
630,Sublime Text,2
631,Adobe Illustrator,2
632,Adobe Photoshop,4
633,Photo,11
634,Photos,10
635,Photoshop,10
636,DHTML,2
637,React.js,4
638,Angular,18
639,Coffee,2
640,CoffeeScript,2
641,MV,17
642,MVC,14
643,Unix,17
644,Internet,10
645,Servers,2
646,EP,10
647,RCA,3
648,Universities,1
649,AU,2
650,AUTOSAR,2
651,ISR,3
652,JIRA,16
653,MISRA,2
654,SAR,3
655,TOS,2
656,Digital,25
657,GNU,5
658,GNU Make,2
659,Perforce,5
660,Object Oriented Design,2
661,Eclipse,3
662,IPS,3
663,MIP,2
664,RIS,10
665,RISC,3
666,SystemVerilog,2
667,Verilog,2
668,Chinese,5
669,Mandarin,6
670,Neo4j,11
671,Bridge,5
672,Human Factors,3
673,Political Science,1
674,Psych,14
675,Psychology,13
676,Sociology,5
677,Language Processing,14
678,Natural Language Processing,14
679,Player,2
680,SaaS,24
681,Organizational Psychology,1
682,Predictive Analytics,1
683,Decision Trees,1
684,Trees,1
685,Service Levels,5
686,Information Security,12
687,Netezza,5
688,ITIL,17
689,ServiceNow,12
690,ESP,3
691,Epic,6
692,Conv,14
693,Conventions,1
694,Registration,2
695,Completion,14
696,Willow,1
697,RTA,1
698,BBQ,15
699,Compensation,8
700,Fusion,2
701,IKE,2
702,Business Ethics,4
703,Code of Conduct,4
704,Ethics,5
705,Recruiting,3
706,Capital,16
707,Capital Markets,6
708,Commercial Banking,1
709,Wealth,5
710,Wealth Management,5
711,RDA,2
712,Data Models,4
713,IBM,22
714,Information Governance,1
715,Search,6
716,Confluence,7
717,BST,1
718,STM,10
719,Dashboard,12
720,Dashboards,5
721,CAD,6
722,DP,14
723,IDP,1
724,CSM,3
725,PSM,1
726,Flip,2
727,AJAX,1
728,Google API,1
729,Grails,1
730,HTML5,10
731,PostgreSQL,23
732,PLS,4
733,Adobe Analytics,9
734,HRIS,4
735,PE,14
736,Data Warehouse,15
737,Enterprise Data,4
738,SSI,30
739,Stack,22
740,Data Quality,8
741,Data Services,9
742,MDS,2
743,Master Data,9
744,Lake,8
745,Cloud Services,2
746,Electro,12
747,Electron,10
748,Electronics,2
749,E2,1
750,MRM,8
751,Risk Governance,1
752,Exceptions,1
753,Candida,20
754,Co-ops,1
755,Internships,1
756,Skills,12
757,Technologie,4
758,Computational Biology,2
759,JMP,2
760,People Management,2
761,Bloomberg,3
762,CAA,6
763,Data Extraction,1
764,Data Mining,5
765,Mining,6
766,QlikView,3
767,ECR,2
768,ESB,3
769,APL,1
770,Node.js,9
771,Polymer,3
772,Polymer Science,3
773,DSC,4
774,FTIR,3
775,TGA,3
776,Food Safety,2
777,Purchasing,4
778,Probation,2
779,Income Protection,4
780,Protection,12
781,Bonuses,4
782,Signing,4
783,Chemical Engineering,4
784,ASTM,3
785,Testing,15
786,Rap,6
787,Cash,2
788,FRS,8
789,IFR,8
790,IFRS,8
791,COE,1
792,HCP,17
793,SSL,7
794,Ecommerce,3
795,Acceleration,2
796,Architecture,16
797,Avenue,1
798,CCD,3
799,CCIE,2
800,CCNA,2
801,CCNP,4
802,CCS,5
803,CCSP,3
804,CDP,3
805,Cisco,20
806,Cisco Wireless,2
807,Computer Networking,2
808,Controllers,2
809,EAD,2
810,Firewall,7
811,Firewalls,5
812,Fortinet,4
813,German,4
814,Hudson,1
815,LTE,2
816,MAN,6
817,OSP,4
818,Plus,5
819,Prime,2
820,RIP,2
821,Real Estate,1
822,Riverbed,2
823,Router,3
824,Routers,3
825,SPF,4
826,Solar,4
827,Solarwinds,3
828,Switches,3
829,VO,4
830,VOIP,4
831,Web Architecture,1
832,Wire,6
833,Wireless,5
834,Wireless LAN Controller,2
835,Wireshark,3
836,Linear Programming,2
837,Lighthouse,2
838,Dynamo,3
839,Savings,9
840,Teams,13
841,DAX,5
842,ETL Tools,2
843,HBA,2
844,Rabbit,4
845,RabbitMQ,4
846,Cloudera,3
847,Loyalty Programs,1
848,Technology Management,4
849,MicroStrategy,4
850,Craft,1
851,Revenue,1
852,Information Design,3
853,Debugging,2
854,CQ,5
855,CQI,2
856,QI,2
857,Indicators,2
858,Key Performance Indicators,2
859,Green Belt,1
860,Lean Six Sigma,5
861,Quality Improvement,1
862,IBC,4
863,TIBCO,1
864,IaaS,4
865,PaaS,5
866,Biochemistry,8
867,Account Executives,1
868,Project Managers,10
869,Xactly,7
870,Newsletters,1
871,Professional Services,7
872,Survey,4
873,PTO,1
874,Gym,1
875,Fruit,2
876,Snacks,5
877,Parking,7
878,Medical Writing,2
879,Writing,14
880,Affinity,2
881,Copy Editing,2
882,CUDA,5
883,DirectX,2
884,OpenGL,3
885,Network Function Virtualization,2
886,Virtualization,5
887,Demand,5
888,Demand Management,2
889,Chart,7
890,Project Charter,3
891,Steering,3
892,Telecommunications,2
893,PMP,10
894,Software Development,9
895,Software Development Life Cycle (SDLC),5
896,SharePoint,32
897,Cloud Computing,6
898,Unifi,8
899,Unified Communications,2
900,C2,8
901,EC2,8
902,Ruby,14
903,EE,9
904,OBI,2
905,OBIEE,2
906,Kindergarten,6
907,Activiti,5
908,Work Orders,2
909,Third Party Vendors,2
910,Vendors,2
911,Bind,2
912,Binders,2
913,Instruction,5
914,Instructions,5
915,DMP,11
916,Acceptance Testing,2
917,User Acceptance Testing,2
918,QR,3
919,Clinical Data,12
920,Clinical Data Management,6
921,Wellness,20
922,Issue Management,1
923,Metadata,3
924,Provision,1
925,Provisioning,1
926,Reference Data,1
927,Amazon,19
928,Authorization,1
929,Unity,2
930,Decision Support,2
931,LCL,5
932,Mobi,10
933,Mobile,9
934,Customer Insight,1
935,Persona,6
936,Customer Marketing,2
937,Line of Business,2
938,P&C,10
939,Commerce,20
940,Microsoft Reporting Service,1
941,Art,14
942,Directors,4
943,InDesign,4
944,Adobe Creative Cloud,1
945,Creative Cloud,1
946,Balsamiq,1
947,WordPress,6
948,WSIB,8
949,Maven,6
950,BIA,2
951,CBI,2
952,Epidemiology,3
953,Commission,2
954,Transformation,3
955,Knowledge Base,1
956,CAG,2
957,WC,4
958,Sampling,3
959,Sanitation,2
960,Hazard Analysis,1
961,Adobe Marketing Cloud,1
962,Analysis Services,4
963,Microsoft SQL Server,12
964,PCL,2
965,PV,8
966,Autism,5
967,Childhood,2
968,Early Childhood Education,2
969,Optio,7
970,Options,5
971,Stock Option,5
972,Hub,16
973,Fur,7
974,Charity,6
975,Golf,6
976,Softball,6
977,Curl,6
978,Curling,6
979,Lunch,8
980,Human Capital,3
981,Water,10
982,Glass,3
983,Microsoft C,6
984,ASP.NET,4
985,Visual Analytics,1
986,Memos,1
987,Outcome focused,3
988,Engineers,12
989,Cron,2
990,DBT,2
991,Games,4
992,B2B,6
993,Onboarding,1
994,Renewals,1
995,Executive Team,1
996,Robot,5
997,Robotics,2
998,Liaison,3
999,Google Suite,4
1000,Aspera,2
1001,FTP,3
1002,LTO,2
1003,Slack,8
1004,Film,2
1005,Television,2
1006,Email,1
1007,A+,4
1008,Zen,7
1009,Zend,2
1010,Zendesk,2
1011,Integrative,1
1012,Bioinformatics,3
1013,RNA,2
1014,Rx,5
1015,Store,4
1016,Store Communications,1
1017,Resolve,9
1018,Vendor Management,1
1019,Matrix,1
1020,Recalls,3
1021,Draw,5
1022,Synthesis,1
1023,Global Reporting,1
1024,Indeed,2
1025,Platinum,2
1026,Visual Studio,7
1027,KYC,7
1028,DV,4
1029,IDV,1
1030,Bitbucket,6
1031,Avro,5
1032,REST,38
1033,Wit,7
1034,Survey Research,1
1035,Customer Experience,1
1036,Phase I Environmental Site Assessments,1
1037,BigTable,2
1038,APA,6
1039,CAP,8
1040,RTC,1
1041,Quality System,4
1042,Customer Service,6
1043,GED,2
1044,Change Management,6
1045,DPS,2
1046,Falcon,1
1047,TSYS,3
1048,Framework,15
1049,Open Data,2
1050,Pipe,5
1051,Pipeline,5
1052,Pipelines,3
1053,DTM,13
1054,MIG,2
1055,SDTM,12
1056,LG,3
1057,DIS,13
1058,EMA,2
1059,G Suite,1
1060,GitLab,2
1061,D3.js,2
1062,SQL Server Management Studio,2
1063,Server Management,2
1064,WinForms,1
1065,Microsoft Access,2
1066,Telerik,1
1067,Aerospace,3
1068,Consumer Products,1
1069,Defense,3
1070,Energy,9
1071,Entertainment,2
1072,Healthcare,6
1073,Industrial Products,1
1074,Media & Entertainment,1
1075,Public Sector,1
1076,Utilities,3
1077,Graph Theory,1
1078,Business Analysis,8
1079,Business Knowledge,2
1080,Engineering Leadership,1
1081,Technical Solution Design,1
1082,Live,3
1083,Lyrics,2
1084,Veeva,1
1085,Software as a Service,2
1086,Apps,5
1087,OneDrive,2
1088,SPR,3
1089,KOL,5
1090,Medical Records,2
1091,Export,1
1092,Import,3
1093,Great Plains,1
1094,Developers,6
1095,Shopify,2
1096,Technical Leadership,1
1097,Presto,4
1098,Autodesk,1
1099,Hiring,1
1100,Google Calendar,1
1101,Combinatorics,1
1102,Optimization Techniques,1
1103,MX,1
1104,Shock,2
1105,LabVIEW,2
1106,PDM,3
1107,Design for Manufacturing,2
1108,FME,3
1109,Failure Analysis,2
1110,Root Cause,2
1111,ETCS,2
1112,Polish,5
1113,Finish,2
1114,Bioassay,1
1115,Cell Culture,1
1116,Chromatography,1
1117,ELISA,2
1118,Electrophoresis,1
1119,ISA,4
1120,SDS,4
1121,Professional Conduct,2
1122,Kotlin,3
1123,Triage,4
1124,Firmware,1
1125,IAR,1
1126,Languages,3
1127,Scripting,4
1128,Scripting Languages,1
1129,Silicon,1
1130,Bluetooth,1
1131,Bluetooth Low Energy,1
1132,Edge,6
1133,SMB,1
1134,QB,2
1135,Speech,11
1136,Fine Art,1
1137,IVR,1
1138,UX Design,1
1139,Cardiac Cath,1
1140,Coordinators,3
1141,Health Informatics,4
1142,Industrial Engineering,2
1143,Medical Imaging,2
1144,Transcribing,1
1145,REDCap,3
1146,Commodities,1
1147,Derivatives,1
1148,Equity Swaps,1
1149,Interest Rate Swaps,1
1150,Swap,1
1151,Swaps,1
1152,Charles River IMS,1
1153,SimCorp Dimension,1
1154,Ansible,9
1155,Openshift,2
1156,Orchestration,1
1157,Cucumber,2
1158,Containerization,1
1159,IT Service,3
1160,IT Service Management,3
1161,XSL,5
1162,XSLT,3
1163,Fire Protection,4
1164,L-1,2
1165,DataStage,4
1166,Transactional,1
1167,Data Systems,10
1168,Productization,3
1169,Migrating,4
1170,Predictive Modeling,3
1171,Events,3
1172,Community Engagement,1
1173,Image Pro,1
1174,Image Processing,1
1175,OpenCV,3
1176,Reason,2
1177,PERC,1
1178,Health Services Research,1
1179,Ruby on Rails,2
1180,Groovy,2
1181,Microservices,5
1182,Portfolio Managers,1
1183,Oracle Clinical,1
1184,RDC,1
1185,SME,8
1186,PCA,2
1187,UL,4
1188,Nielsen,2
1189,Publishing,2
1190,AIR,2
1191,AMR,1
1192,ILE,2
1193,CSE,7
1194,MCS,2
1195,MCSA,1
1196,SRT,1
1197,SOA,9
1198,SOAP,8
1199,RAM,2
1200,Schema,2
1201,Method Transfer,4
1202,Technology Transfer,1
1203,Impurities,1
1204,Method Development,1
1205,Dissolution,1
1206,ICP,8
1207,ICP-OES,3
1208,Remediation,2
1209,GAP,1
1210,Management Consulting,1
1211,DCM,1
1212,Digital Marketing,1
1213,Facebook Ads Manager,1
1214,Process Control,4
1215,Vaccines,2
1216,Discrete,1
1217,Factor Analysis,1
1218,Genetic Algorithms,1
1219,Sensitivity,1
1220,Sensitivity Analysis,1
1221,Continuous Improvement,1
1222,Econometrics,2
1223,Excel Models,1
1224,Journal Entries,1
1225,Road,6
1226,Presentations,1
1227,Financial Metrics,1
1228,Vlookup,1
1229,Cognos,14
1230,Storage,5
1231,Buildings,1
1232,Energy Management,2
1233,SPM,1
1234,STAR,1
1235,TAR,1
1236,MAR,1
1237,SMA,1
1238,Building Science,2
1239,Kofax,1
1240,FactSet,1
1241,Microsoft Azure,10
1242,Architects,12
1243,MariaDB,4
1244,Open Source,2
1245,Relationship Building,2
1246,Problem Solving,3
1247,Apache Kafka,1
1248,Actuarial Science,15
1249,AXI,3
1250,Visual Basic,2
1251,XI,4
1252,Acrobat,3
1253,Dreamweaver,1
1254,Adobe Experience,2
1255,Adobe Experience Manager,2
1256,ATG,1
1257,Content Management,4
1258,Drupal,2
1259,Brand Strategy,1
1260,Customer Intimacy,1
1261,Glue,3
1262,ICE,10
1263,IDS,2
1264,Intrusion Detection,2
1265,Physical Security,2
1266,Security Policy,2
1267,Utilization,2
1268,Visit,1
1269,Schedules,2
1270,Environmental Services,1
1271,PAW,1
1272,Integration,20
1273,Mentoring,6
1274,Middleware,2
1275,Adwords,2
1276,Sitecore,2
1277,R4,3
1278,DPR,3
1279,EDA,1
1280,PED,1
1281,PIP,1
1282,PIPEDA,1
1283,LD,6
1284,GWT,7
1285,Spring,10
1286,Spring MVC,7
1287,Amazon Web Services,9
1288,Web Services,11
1289,UE,2
1290,Gmail,1
1291,Sheets,3
1292,Enterprise Account Management,1
1293,Syncsort,1
1294,Redis,6
1295,LGD,1
1296,UG,2
1297,Payroll,4
1298,Criminology,1
1299,Work Instructions,3
1300,Astra,7
1301,ESR,3
1302,SEM,3
1303,Eloqua,2
1304,Hubs,3
1305,Marketo,3
1306,CML,1
1307,D2,2
1308,PSD,2
1309,Jasmine,2
1310,Karma,2
1311,Mocha,1
1312,HTTPS,1
1313,TTP,1
1314,RDBMS,10
1315,Digital Product Development,4
1316,Product Life Cycle,2
1317,Content Management Systems,3
1318,Lite,3
1319,Kinesiology,2
1320,Express,3
1321,Sails,2
1322,Nano,1
1323,Data Operations,1
1324,Greenplum,2
1325,Lamb,8
1326,Collating,1
1327,Happiness,1
1328,Surveillance,1
1329,Knowledge Management,1
1330,Downtown,3
1331,Diction,1
1332,Dictionaries,1
1333,Repos,1
1334,Oracle Designer,1
1335,SciPy,2
1336,Basel I,2
1337,Basel II,2
1338,Basel III,1
1339,Project Plans,1
1340,Microsoft Power BI,1
1341,Enterprise Network,2
1342,Tier 2,4
1343,ICR,5
1344,Cisco IOS,1
1345,IOS,1
1346,OS X,1
1347,IP VPN,2
1348,MPL,2
1349,Cisco Nexus,1
1350,Nexus,1
1351,Nexus 5,1
1352,DSL,1
1353,Fibre,1
1354,T3,1
1355,Clinical Operations,2
1356,Office 365,3
1357,Swift,6
1358,UML,3
1359,Business Requirements,2
1360,Gap Analysis,1
1361,ALM,4
1362,IMS data,1
1363,Cardio,4
1364,Diabetes,1
1365,Immunology,2
1366,Sales Operations,1
1367,Segmentation,1
1368,Sizing,1
1369,Bayesian inference,1
1370,Markov models,1
1371,Load,11
1372,SQL Server Integration Services,4
1373,SQL Server Integration Services (SSIS),2
1374,SQL Server Reporting Services (SSRS),1
1375,IDQ,1
1376,Automation,7
1377,Marketing Automation,2
1378,CMO,1
1379,Workday,8
1380,Shape,4
1381,Django,4
1382,Flask,3
1383,BER,2
1384,NLTK,5
1385,Lucene,3
1386,Solr,4
1387,IRI,1
1388,Business Technology,3
1389,Classic,3
1390,Cura,1
1391,Curating,1
1392,Internet of Things,2
1393,Direct3D,1
1394,MCT,1
1395,Health Care Professionals,1
1396,Key Opinion Leaders,1
1397,OLS,1
1398,Promotional,1
1399,Qualtrics,3
1400,Message Broker,1
1401,OWA,1
1402,OWASP,1
1403,Unit Testing,1
1404,WASP,1
1405,Data Migration,4
1406,Practice Development,2
1407,Financials,2
1408,Time Tracking,1
1409,PMB,1
1410,PMI,1
1411,Privacy Act,1
1412,Defined Benefit,5
1413,Defined Contribution,6
1414,CEBS,2
1415,PAC,12
1416,Bilingualism,3
1417,DBC,2
1418,Master Data Management,3
1419,Global Operations,1
1420,Batch Release,2
1421,Document Management,2
1422,Management Review,2
1423,Returns,2
1424,FDA GMP,1
1425,Office Application,2
1426,TrackWise,1
1427,ASQ,2
1428,IRC,1
1429,IRCA,1
1430,Agility,2
1431,Organizational Agility,1
1432,Priority Setting,2
1433,Batch Records,1
1434,PDR,1
1435,QTP,1
1436,Specifications,2
1437,Regulatory Affairs,4
1438,Kobo,2
1439,Maternity,1
1440,Clarity,1
1441,EOC,1
1442,Structured Data,1
1443,Github,3
1444,Membership,2
1445,Foosball,1
1446,NYSE,1
1447,Internal Audit,3
1448,SAP BI,2
1449,APICS,2
1450,CIR,2
1451,CMP,2
1452,CPI,5
1453,CPIM,3
1454,PIC,2
1455,PSP,7
1456,Patient Support,2
1457,Forecasting,2
1458,OMA,2
1459,Publications,1
1460,Archiva,1
1461,SharePoint Server,1
1462,Records Management,1
1463,TDM,1
1464,Scheme,2
